annotation,event_number
"Sherlock is pipetting chemicals in a  wet laboratory onto a petri dish. He peers down at his sample A knock is heard at the door. Mike and John enter into the room.  Sherlock looks up from his work toward the door to glance at who it is that entered, then looks back down at his work.  John looks around the room and says to Mike: ""Well, a bit different from my day.""  Mike says: ""Oh you have no idea"" Sherlock says nonchalantly while continuing his work: ""Mike can I borrow your phone? I have no signal on mine."" Mike asks: ""What's wrong with the landline?"" Sherlock: ""I prefer to text."" He never looks at Mike while he's speaking John stands silently and awkwardly in the middle of this conversation and looks at Sherlock. Mike: ""Sorry, it's in my coat."" and walks to his work area Sherlock doesn't answer and peers down at his sample once again John says: ""Umm here"" Sherlock turns his head toward John. John says: ""Use mine."" Sherlock says: ""Oh, thank you."" (unexpectedly pleasant voice)  He gets up and walks toward John Mike says pointing at John: ""He's an old friend of mine, John Watson."" Shot of Sherlock from the back approaching John Sherlock takes the phone that John hands to him. Flips the screen up, presses a button and blatantly asks: ""Afghanistan or Iraq?"" Mike throws a smirk at John.  John tilts his head in confusion, and looks at Sherlock who is typing something on the phone and says: ""sorry?"" Sherlock looks at John and reiterates the question: ""Which was it, Afghanistan or Iraq?"" all the while he is still typing away on the phone. Sherlock goes back to looking at the phone. John doesn't know what to say and looks at Mike.  Mike smiles when John looks at him again John: ""Uh, Afghanistan, sorry, how did you-?"" Molly walks in while John is talking and Sherlock looks up, shuts down Johns phone, hands it back and  interrupts John saying: ""Ah Molly, coffee. Thank you."" Sherlock takes his coffee from Molly looks at Molly and asks: ""What happened to the lipstick?"" Molly replies shyly: ""It wasn't working with me."" as she hands a brown cup of coffee to Sherlock  Sherlock says: ""Really? I thought it was a big improvement."" as he turns around to go back to his station As he is going back Sherlock says: ""Your mouth is too small now."" He makes a gesture denoting ""small"" Sherlock takes a sip of his coffee while walking and grimaces at the taste. Molly says a quiet : ""Okay…"" Sherlock arrives at his station and sets his coffee cup down on the table Sherlock asks: ""How do you feel about the violin?"" while looking down at his work  John looks round Molly, but she's on her way out the door. He glances at Mike. Mike looks back smugly at John John asks with a puzzeled look: ""Sorry, what?"" Sherlock says while typing on a laptop keybard: "" I play the violin when I'm thinking. Sometimes I don't talk for days on end."" Sherlock looks round at John and says: ""Would that bother you? Potential flatmates should know the worst about each other."" He throws a hideously false smile at John John looks at Sherlock blanky for a moment then looks round at Mike John looks in Mike's direction and says: ""Oh you…you told him about me?"" Mike shakes his head while holding a lab sample and says: ""Not a word."" John looks down then up round Sherlock and asks: ""Then who said anything about flatmates?"" Sherlock has his back to John and as he is grabbing his black coat he says: ""I did."" Sherlock continues: ""Told Mike this morning that I must be a difficult man to find a flatmate for. Now here he is just after lunch with an old friend, clearly just home from Afghanistan."" while putting on his coat and grabbing a blue scarf Sherlock, while putting on his scarf,  looks at John and continues: "" Wasn't that difficult a leap."" John asks: ""How did you know about Afghanistan?"" Sherlock picks up his phone, checks it and walks toward John as he says: ""Got my eye on nice little place in central London. Together we ought to be able to afford it."" (he pauses in front of John) ""We'll meet there tomorrow evening; seven o'clock. Sorry-gotta dash."" Sherlock walks toward the door past John as he says: ""I think I left my riding crop in the mortuary."" John looks puzzeled. John turns toward Sherlock and asks: ""Is that it?"" Sherlock turns back from the door and strolls closer to John and says: ""Is that what?"" John says: ""We've only just met and we're gonna go and look at a flat?"" Sherlock looks in Mike's direction then back at John and says: ""Problem?"" John smiles incredulously and looks at Mike.  Mike stares at Sherlock with a smug smile.  John turns back to Sherlock and says: ""We don't know a thing about each other; I don't know where we're meeting; I don't even know your name."" Sherlock pauses and looks closely at John Sherlock looks intently at John and says very quickly and precisely: "" I know you're an Army doctor and you've been invalided home from Afghanistan. I know you've got a brother who's worried about you, but you won't go to him for help because you don't approve of him - possibly because he's an alcoholic..."" John looks dumbfounded and stares at Sherlock as Sherlock continues ""….more likely because he recently walked out on his wife."" Shot of Sherlock as he continues: ""…And I know that your therapist thinks your limp is psychosomatic…"" Sherlock glances down at John's legs.  John also glances down at his legs and cane and shuffles his feet awkwardly. Sherlock says: ""Quite correctly, I'm afraid.""  Sherlock smugly says: ""That's enough to be going on with, don't you think?"". He walks toward the door to leave.  John stands still awkwardly. The sound of the door closing and Sherlock leaving is heard, shortly followed by the sound of it re-opening.  Sherlock leans back into the room and says to John: "" The name's Sherlock Holmes and the address is two two one B Baker street."" He click-winks at John.  Sherlock looks at Mike and says: ""Afternoon."" He then exits the room. Mike raises a finger in farewell as the door shurts behind Sherlock.  John stares at Sherlock leaving and then looks round at Mike in disbelief. Mike smiles and nods says: ""Yup (nod), he's always like that."" Shot of John awkwardly shiting his weight with his cane.  Shot of London ",16
"Shot of John's bed. John goes to his bed.  John sits down on his bed and blankly stares straight ahead.  John reaches into his left pocket, takes out his phone, and goes to the Messages - Received menu on his phone.  John selects the Messages - Sent menu and reads the message Sherlock sent using his phone earlier. It reads: If brother has green ladder arrest brother. SH John looks back up from his phone, glances at his laptop on his desk John gets up from his bed with his cane.  A shot of the website Quest. ""Sherlock"" is being typed onto the search website.  John is at his desk typing on his laptop. Back to the shot of the website. ""Sherlock Holmes"" is now being typed. ",17
"A woman wearing a pink overcoat and pink high-heeled shoes slowly reaches down with a trembling hand with pink fingernails towards a clear glass bottle which is standing on the bare floorboards and which contains three large capsules. Her fingers close around the bottle and she slowly lifts it off the floor, her hand still shaking.",18
"Continuous shot as a sign that says: ""Baker Street W1, City of Westminister"" appears and then camera pans to the left to show John walking with his cane while a black taxi pulls up on the side of the road.  Sherlock comes out of the taxi as John approaches the building and knocks on 221B Baker street,  next to Speedy's Café - Sandwich Bar and Cafe  John knocks on the door that says: ""221 B"" as Sherlock closes the taxi door and says: ""Hello."" Sherlock reaches in through the window of the cab and hands some money to the driver then says a quick: ""Thank you.""  John turns around toward Sherlock and says : ""Ah, Mr. Holmes."" Sherlock walks toward John and says: ""Sherlock, please."" The two shake hands.  John looks at the door, then looks around the area and says: ""Well, this is a prime spot. Must be expensive."" Sherlock looks around as well with his hands behind his back.  Sherlock has his hands behind his back while he looks around the street and says: ""Oh, Mrs. Hudson, the landlady, she's giving me a special deal. Owes me a favour. A few years back, her husband got himself sentenced to death in Florida. I was able to help out.""  John: ""Sorry - you stopped her husband being executed?"" Sherlock says: ""Oh no, I ensured it."" and smiles at John.  Mrs. Hudson opens the door, smiles and says: ""Sherlock, Hello."" Sherlock turns and walks into her arms, hugging her briefly, then steps back.  Sherlock presents John to Mrs. Hudson and says: ""Mrs. Hudson, Dr. John Watson.""  Mrs. Hudson says a warm ""Hello"" to John. John says: ""How do?"" Mrs. Hudson gestures John inside and says: ""Come in."" John says: ""Thank you"" and goes in the building.  Sherlock says: ""Shall we?"" and follows behind John inside the house with his hands behind his back. Mrs. Hudson closes the door behind them.  A view of the door that says: 221B Sherlock trots up the stairs to the first floor landing, then pauses and waits for John. John hobbles up the stairs.  Sherlock opens the door for John and they both go in. John takes time to look around the flat.  John's point of view as he looks around the room. It is quite messy and there are boxes everywhere.  John walks around the room and heads toward the kitchen as he says: ""Well, this could be very nice. Very nice indeed."" Sherlock also looks around the flat happily and says: ""Yes. Yes, I think so. My thoughts precisely."" Sherlock: ""So I went straight ahead and moved in."" John simultaneously says: ""Soon as we get all this rubbish cleaned out…""  John and Sherlock awkwardly look at each other and John says: ""Oh."" Sherlock walks across the room and makes a half-hearted attempt to tidy up a little. John trails off: ""So this is all…"" as Sherlock says: ""Well, obviously I can, um, straighten things up a bit."" Sherlock throws a couple of folders into a box and then takes some apparently unopened envelopes across to the fireplace where he puts them onto the mantelpiece and then stabs a multi-tool knife into them. John points to something on the mantelpiece with his cane and says: ""It's a skull."" Sherlock awkwardly looks at the skull and says: ""Friend of mine."" Then trails off: ""When I say friend…"" as he moves across the room Mrs. Hudson walks into the room and says to John: ""What do you think, then, Doctor Watson? There's another bedroom upstairs of you'll be needing two bedrooms."" while Sherlock walks across; removing his coat and scarf.  John says: ""Of course we'll be needing two."" with a puzzeled look. Mrs Hudson: ""Oh, don't worry; there's all sorts round here."" (Dropping her voice confidentially) ""Mrs Turner next door's got married ones."" John has an incredulous look as he looks from Mrs. Hudson round to Sherlock, expecting him to confirm that he and John are not involved in that way.  Sherlock is seen organizing books from boxes onto a bookshelf. He seems oblivious to what is being insinuated by Mrs. Hudson.  Mrs. Hudson looks back round to Sherlock as she is walking toward the kitchen and says: ""Oh, Sherlock…"" Sherlock looks up from his organizing work at Mrs. Hudson.  Mrs. Hudson continues in a motherly tone: ""The mess you've made…"" Then she starts tidying up the kitchen.  John walks over to one of the two armchairs, plumps up a cushion on the chair and then drops heavily down into it. He looks across to Sherlock who is still tidying up a little.",19
"Sherlock stops to open up his laptop while walking around and tidying up.  John says to Sherlock: ""I looked you up on the internet last night."" Sherlock stops his work and puts his hands into his pant pockets and nonchalantly asks: ""Anything interesting?"" John: ""Found your website, The Science of Deduction."" Sherlock, with a proud smile, asks: ""What did you think?"" John throws him a ""you have got to be kidding me type of look."" Sherlock looks surprised and a little hurt at the same time.  John looks up at Sherlock and explains: ""You said you could identify a software designer by his tie and an airplane pilot by his left thumb."" Sherlock replies: ""Yes, and I can read your military career in your face and your leg…"" John looks up and stares at Sherlock intently as Sherlock finishes saying: ""…and your brother's drinking habits in your mobile phone."" John continues to stare at him in disbelief. John breaks the silence by asking: ""How?"" Sherlock smiles, ignores John's question and turns round to go back to his work tidying up. ",20
"Mrs. Hudson comes out of the kitchen and asks: ""What about these suicides then, Sherlock?"" Sherlock is staring out at the window while Mrs. Hudson continues in the background: ""I thought that'd be right up your street. Three exactly the same."" Sherlock walks closer to the living room window at the sound of a car pulling up outside and stares outside. He says: ""Four."" View of police car with its lights flashing parked outside 221B Baker Street through the window in Sherlock's viewpoint. Someone gets out of the police car. Sherlock says: ""There's been a fourth. And there's something different this time.""",21
"Sherlock turns around toward to the door. Mrs. Hudson asks: ""A fourth?"" D.I. Lestrade trots up the stairs and comes into the living room through the open room door.  Sherlock asks: ""Where?"" with a concerned look. Lestrade replies: ""Brixton, Lauriston Gardens."" Sherlock states: ""What's new about this one? You wouldn't have come to be if there wasn't something different."" Lestrade says: ""You know how they never leave notes?"" Sherlock says: ""Yeah"" in the background. Lestrade continues: ""This one did."" Sherlock looks intrigued. Lestrade asks: ""Will you come?"" Sherlock asks Lestrade: ""Who's on forensics?"" Lestrade answers: ""It's Anderson."" Sherlock grimaces and says: ""Anderson won't work with me."" Shot of John sitting down on a chair with his right hand on his cane standing upright on the floor and keenly looking at Sherlock as he is speaking.  Lestrade states: ""Well, he won't be your assistant."" Sherlock insistingly says: ""I NEED and assistant."" Lestrade, seemingly a little exasperated, asks again: ""Will you come?"" Sherlock replies: ""Not in a police car. I'll be right behind.""  Lestrade gives a little bow and says: ""Thank you."" He looks around at John and Mrs. Hudson, who is standing by the kitchen entrance, for a moment. Then he turns and hurries off down the stairs. John looks puzzeled as he looks back at Lestrade leaving the room then looks round at Sherlock.  Sherlock waits until Lestrade has reched the front door. He is looking outside the window. He hears the sound of the door closing shut.  Sherlock smiles and leaps into the air and clenches his fists triumphantly while saying : ""BRILLIANT!"" Sherlock shouts: ""Yes!"" He happily twirls around the room as he says: ""Ah, four serial suicides, and now a note! Oh, it's Christmas."" Sherlock grabs his coat and puts it on while says: ""Mrs. Hudson, I'll be late. Might need some food"" and walks into the kitchen.  Mrs. Hudson is standing by the entrance of the kitchen and says to Sherlock: ""I'm your landlady dear, not your housekeeper."" Sherlock replies: ""Something cold will do"" as he puts on a scarf. Sherlock adds: ""John, have a cup of tea, make yourself at home"" then grabs a small leather pouche from the kitchen table.  Sherlock opens the door to the stairway and says: ""Don’t wait up!"" and leaves the room.  Mrs. Hudson turns to John who is still sititing down and says: ""Look at him, dashing about! My husband was just the same.""",22
"John grimaces at the repeated implication that he and Sherlock are an item. Mrs. Hudson looks at John and observes: ""But, you're more the sitting down type, I can tell."" Mrs. Hudson turns and walks toward the door and says: ""I'll make you that cuppa. You rest your leg."" John looks very annoyed.  John shouts: ""DAMN MY LEG!"" and Mrs. Hudson jumps and turns around surprised.  John immediately apologizes and bashes his leg with his cane saying: ""Sorry, I'm so sorry. It's just sometimes this bloody thing…"" as Mrs. Hudson walks back toward John.  Mrs. Hudson says: ""I understand dear, I've got a hip"" and turns around toward the door again.  John sounds frustrated as he says: ""Cup of tea'd be lovely, thank you"" and he grabs a newspaper on the right arm of his chair.  Mrs. Hudson notes: ""Just this once, dear, I'm not your housekeeper"" and starts to walk out of the door.  John adds just as Mrs. Hudson is about to leave the room: ""Couple of biscuits too, if you've got'em"", then opens the newspaper in his hands. Mrs. Hudson comes back in half-way.  Mrs. Hudson says: ""Not your housekeeper!"" then leaves the room.  John looks closely at the front-page article of the newspaper and folds the half of the newspaper that he is reading.  There is a sound of someone opening a door in the background. John looks at the article reporting Beth Davenport'apparent suicide. Next to a large photograph of Beth is a smaller one showing the man who just visited the flat and identifying him at D.I. Lestrade. The byline is ""Serial Cults.""",23
"Before John can read on, Sherlock's voice interrupts him stating: ""You're a doctor."" John looks up and sees him standing at the living room door. Sherlock continues: ""In fact, you're an army doctor"" while putting on a pair of black gloves.  John says : ""Yes"" and stands up from the chair with his cane with a small grunt. Sherlock asks: ""Any good?"" John says: ""Very good."" Sherlock says: ""Seen a lot of injuries, then; violent deaths..."" while walking closer to John. John replies: ""Mmm, yes."" Sherlock continues to walk toward John.  Sherlock continues: ""Bit of trouble too, I bet"" and stops his tracks in front of John.  John replies in a serious tone: ""Of course, yes. Enough for a lifetime. Far too much."" Sherlock pauses for a moment and asks: ""Wanna see some more?"" John says fervently: ""Oh God, yes.""  Sherlock immediately turns around to go out and John quickly follows.  Sherlock quickly runs down the stairs. John is seen following behind. A shot of Sherlock's back as he goes down the stairs. John calls out: ""Sorry, Mrs. Hudson, I'll skip the tea. Off out.""  Continued shot of Sherlock's backside. Mrs. Hudson asks: ""Both of you?"" Sherlock has almost reach the front door but he stops.   Sherlock turns around and walks toward Mrs. Hudson who is standing near the bottom of the stairs. He excitedly says: ""Impossible suicides? Four of them? There's no point sitting at home when there's finally something fun going on!"" Sherlock takes Mrs. Hudson by the shoulders and kisses her noisily on the cheek.  John is at the bottom of the stairs as he watches. Mrs. Hudson says: ""Look at you, all happy. It's not decent"", but she can't help but smile.  Sherlock turns around and walks toward the door saying: ""Who care about decent? The game, Mrs. Hudson, is on!"" John is seen following behind  Sherlock goes out of the front door and he walks out onto the street. Sherlock turns around and hails an approaching black cab. He yells out: ""Taxi!""  John follows behind and waits for the taxi to pull up with Sherlock. A black taxi pulls up on the side of the road and Sherlock, then John get into the taxi.  The taxi signals to the left and merges with traffic to join the main road. ",24
"Frontal view of Sherlock sitting in the taxi with his eyes fixed on his smartphone. It is now dark outside.  A side view of sherlock's face as he continues to look at his phone. John keeps stealing nervous glances at him in the background Sherlock notices this with a sideglance at John. He takes his eyes off his phone and looks away then looks back at John.  Sherlock takes a deep breath and states: ""Okay, you've got questions.""  John says: ""Yeah, where are we going?"" Sherlock replies: ""Crime scene. Next?"" John replies: ""Who are you? What do you do?"" and looks toward Sherlock.  Sherlock asks: ""What do you think?""  John slowly and hesitantly says: ""I'd say private detective…"" Sherlock asks: ""But?"" John turns toward Sherlock and says: ""…but the police don't go to private detectives."" Sherlock smiles and says: ""I'm a consulting detective. Only one in the world. I invented the job."" John asks: ""What does that mean?""  Sherlock elaborates: ""It means when the police are out of their depth, which is always, they consult me."" John laughs, looks at Sherlock and says: ""The police don't consult amateurs.""  Sherlock throws John a look.  Sherlock says: ""When I met you for the first time yesterday, I said, ""Afghanistan or Iraq?"" You looked surprised.""   John asks in the background: ""How did you know?"" Sherlock states: ""I didn't know, I saw.""  Flashback to when Sherlock and John met earlier in the day. Sherlock takes a keen look at whoever is coming through the door while doing his work with his right hand on a pipette. Time seems frozen for majority of the flashback.  Zoom into John as he comes in the room. Sherlock: ""Your haircut, the way you hold yourself, says military."" Back to a view of Sherlock observing John as he is entering the room with one hand on a pipette. Sherlock continues in the background: ""But your conversation as you entered the room…"" John walks into the room with Mike saying: ""Bit different from my day""  Back to the present. Sherlock continues: ""…said trained at Bart's, so Army doctor-obvious."" Flashback to John standing in Bart's laboratory. Zoom into his face as Sherlock says: ""Your face is tanned…"" Flashback to when Sherlock looks down keenly at John's hand as John is handing Sherlock his mobile phone. Sherlock continues to explain: ""…but no tan above the wrists."" Zoom into and along John's wrist. Sherlock continues: ""You've been abroad, but not sunbathing."" Back to shot of John standing in the laboratory. Continuous cuts from a still of Sherlock observing him while working to a still of John standing as Sherlock continues: ""Your limp's really bad when you walk, but you don't ask for a chair when you stand, like you've forgotten about it, so it's at least partly psychosomatic. That says the original circumstances of the injury were traumatic."" Transition from the still of John standing in the laboratory to Sherlock speaking to John in the taxi in the present as Sherlock continues: ""Wounded in action, then. Wounded in action, suntan - Afghanistan or Iraq."" John says to Sherlock: ""You said I had a therapist.""  Sherlock replies: ""You've got a psychosomatic limp - of course you've got a therapist."" He pauses for a moment, looks outside the taxi window. Sherlock looks round to John and says: ""Then there's your brother."" John says: ""Hmm?"" Sherlock holds his hand out to John to get John's phone.  Flashback to Sherlock taking the mobile phone from John. Close up on the phone as Sherlock opens it up and looks at its sides. Sherlock explains: ""Your phone. It's expensive, e-mail enabled, MP3 player…"" Back to the present. Sherlock looks round to John and he continues: ""…but you're looking for a flatshare - you wouldn't waste money on this."" Sherlock gestures to the phone. "" It's a gift, then."" John has given Sherlock the phone and Sherlock turns it over and looks at it again as he says: ""Scratches. Not one, many over time."" John is looking intently at Sherlock as he continues: ""The man sitting next to me wouldn't treat his one luxury item like this, so it's had a previous owner. Next bit's easy. You know it already."" Zoom into the engraving at the back of the phone as John says in the background: ""The engraving."" The engraving says: Harry Watson, From Clara, xxx Side view of Sherlock. John is starting at Sherlock the whole time Sherlock states: ""Harry Watson: clearly a family member who's given you his old phone."" Sherlock continues: ""Not your father, this is a young man's gadget. Could be a cousin, but you're a war hero who can't find a place to live. Unlikely you've got an extended family, certainly not one you're close to, so brother it is.""  Sherlock pauses for a moment and looks at John with a look and says: ""Now, Clara..."" Zoom into the engraving at the back of the phone again. Sherlock says in the background: ""Three kisses says it's a romantic attachment."" John is still looking at Sherlock as Sherlock waves the phone around a little bit and continues: ""…The expense of the phone says wife, not girlfriend."" Rapid cuts from close up views of the phone to Sherlock and John in the taxi. Sherlock: ""She must have given it to him recently - this model's only six month's old."" Rapid cuts from different angled views of Sherlock speaking to John in the taxi. Sherlock continues: ""Marriage in trouble then - six months on and he's just given it away. IF she'd left him , he would have kept it. People do - sentiment. But no...""  Sherlock continues: ""...he wanted rid of it. He left her.""  Sherlock: ""...He gave the phone to you: that says he wants you to stay in touch."" John is staring at Sherlock explaining. Sherlock: ""You're looking for cheap accomodation, but you're not going to your brother for help…"" Sherlock continues: ""...that says you've got problems with him. Maybe you liked his wife; maybe you don't like his drinking."" John asks Sherlock: ""How, can you possibly know about the drinking?"" Sherlock smiles and says: ""Shot in the dark. Good one, though.""  Sherlock explains: ""Power connection: tiny little scuff marks around the edge of it."" Close up of the microUSB port on the phone (for charging). Sherlock says in the background: ""Every night he goes to plug it in to charge…"" John looks at his phone in Sherlock's phone as Sherlock moves it around explaining: ""…but his hands are shaking. You never see those marks on a sober man's phone;"" Sherlock: ""...never see a drunk's without them."" Sherlock hands the phone back and says: ""There you go, you see - you were right. John asks incredulously: ""I was right? Right about what?"" Sherlock states:""The police don't consult amateurs."" Sherlock looks out of the side window, biting his lip nervously while he awaits John's reaction.  John pauses for a moment, then says: ""That…was amazing."" He looks out his side window for a moment.  Sherlock looks round, apparently so surprised that he cannot even reply for the subsequent few seconds.  Sherlock looks round at John and asks: ""Do you think so?"" John immediately replies: ""Of course it was. It was extraordinary; it was quite extraordinary."" Sherlock says: ""That's not what people normally say"" and looks down.  Camera is on Sherlock. John asks in the background: ""What do people normally say?"" Sherlock replies: ""'Piss off!'"" He smiles briefly at John.  John grins and turns away to look out of the window as the journey continues.  The taxi passes by a clothing store with white mannequins on display.  Frontal view of a black taxi passing by. Local traffic. ",25
"The cab has arrived at Lauriston Gardens and Sherlock and John get out of the taxi and start walking. Sherlock asks John as he adjusts his coat while walking: ""Did I get anything wrong?"" John: ""Harry and me don't get on, never have. Clara and Harry split up three months ago and they're getting a divorce; and Harry is a drinker."" Sherlock (looking impressed with himself): ""Spot on, then. I didn't expect to be right about everything."" John: ""Harry's short for Harriet."" Sherlock stops dead in his tracks and says: ""Harry's your sister."" John continues walking until he realises Sherlock has stopped. John, continusing onwards, asks: ""Look, what exactly am I supposed to be doing here?"" Sherlock, furiously and with gritted teeth, says: ""Sister!"" and catches up with John.  John: ""No, seriously, what am I doing here?"" Sherlock, exasperated, adds: ""There's always something."" The two men continue walking. ",26
"Sherlock and John approach the police tape where they are met by Sergeant Donovan. Donovan says to Sherlock: ""Hello, freak."" Sherlock: ""I'm here to see Detective Inspector Lestrade."" Donovan asks: ""Why?"" Sherlock answers: ""I was invited."" Donovan asks again: ""Why?"" Sherlock says sarcastically: ""I think he wants me to take a look."" Donovan: ""Well, you know what I think, don't you?"" Sherlock says: ""Always, Sally"" as he lifts the yellow tape and ducks underneath it. Sherlock takes a deep breath through his nose. Sherlock: ""I even know you didn't make it home last night."" Donovan starts: ""I don't-"" then notices John and says: ""Er, who's this?"" Sherlock: ""Colleague of mine, Dr. Watson.""  He turns to John and says: ""Doctor Watson, Sergeant Sally Donovan"", then sarcastically adds: ""Old friend."" Sergeant Donovan stares at Sherlock in disbelief the whole time.  Donovan mockingly says: ""Colleague? How do you get a colleague?"" Donovan turns to John, points at Sherlock and asks: ""What, did he follow you home?"" John asks: ""Would it be better if I waited and…"" ready to leave the area.  Sherlock lifts the tape for John and says: ""No."" John stops in his tracks awkwardly for a moment.  As John walks under the tape, Donovan lifts a radio to her mouth and says into the radio: ""Freak's here. Bringing him in"" then walks toward the crime scene.  Sherlock and John follow Donovan.  Sherlock looks all around the area and at the ground as they approach the building.  As Sherlock and John reach the pavement, a man dressed in blue coveralls comes out of the house. Sherlock says: ""Ah, Anderson. Here we are again."" Anderson looks at him in distaste. Short cut to John looking at the interaction between Sherlock and Anderson. Anderson says: ""It's a crime scene. I don't want it contaminated. Are we clear on that?"" Sherlock takes in another deep breath through his nose and says: ""Quite clear."" He pauses for a moment, then asks Donovan: ""Is your wife away for long?"" Donovan: ""Oh, don't pretend you worked that out. Somebody told you that."" Sherlock: ""Your deodorant told me that."" Anderson: ""My deodorant?"" Donovan is in the background looking at the two men conversing Sherlock quirkily says: ""It's for men!"" Anderson: ""Well, of course it's for men! I'm wearing it!"" Sherlock replies: ""So's sergeant Donovan.""  Anderson looks round in shock at Donovan. Sherlock sniffs pointedly.  John makes a small smirk.  Sherlock: ""Ooh, and I think it just vaporized. May I go in?"" Anderson turns back and points at Sherlock angrily and says: ""Now look: whatever you're trying to imply…"" Sherlock walks forward past Anderson saying: ""I'm not implying anything."" He heads past Donovan towards the front door and gives her a look and says: ""I'm sure Sally came round for a nice little chat, and just happened to stay over."" John follows Sherlock.  Sherlock turns around and adds: ""And I assume she scrubbed your floors, going by the state of her knees."" Anderson and Donovan stare at Sherlock in horror, while Sherlock smiles smugly and goes into the house.  John walks past Donovan, briefly but pointedly looking down at her knees, then follows Sherlock inside.  Shot of Sherlock entering the House.  Black Screen ",27
"People in popcorn, candy, and soft drink costumes are parading down a crowd of people singing ""Let's all go to the lobby x 3, to get ourselves a treat!"" Popcorn is being popped in a large popcorn machine made of glass. A young woman sings: ""Delicious things to eat!"" Men sing in reply: ""the popcorn can't be beat!"" A family of four, a father with a black suit, a little boy with a striped shirt, his older sister with a red shirt and red hair and red bow as well as a mother with a green shirt and grey skirt are seen snacking on popcorn and candy. Background singers sing: ""The sparkling drinks are just dandy, the chocolate bars and the candy..."" A view of the lobby with a display of snacks for the movies. A woman is at the cash register.  Background singers: ""So, let's all go to the lobby to get ourselves a treat"" Let's all go to the Lobby to get Ourselves a Treat! Is seen as on-screen text. Singers sing ""Let's all go to the lobby…""  There is an on-screen countdown from 3…2…1… as the background singers finish singing: ""... to get ourselves a treeeaaaat!"". The music ceases.",28
"Sherlock enters the house on Lauriston Gardens. John follows and Sherlock leads him into a room on the ground floor where Lestrade is putting on a coverall.  Sherlock points to some coveralls on the table and says to John: ""Wear one of these."" Lestrade is looking at John while putting on his coveralls.  Lestrade asks Sherlock: ""Who's this?"" Sherlock (taking his gloves off): ""He's with me."" Lestrade insists: ""But who is he?"" Sherlock firmly replies: ""I said he's with me."" Lestrade doesn't say more.  John has taken off his jacket and picks up a coverall.He looks at Sherlock who has picked up a pair of latex gloves. A policeman passes by. John refers to the coverall and asks Sherlock: ""Aren't you gonna put one on?""Sherlock just looks at him sternly. John shakes his head as if to say, 'Silly me, what was I thinking?' Sherlock asks Lestrade: ""So where are we?""  Lestrade (pickingup another pair of latex gloves) replies: ""Upstairs."" A top view of the spiral staircase from the 3rd floor. There is a foreboding feeling to the scene.  Lestrade leads Sherlock and John up a circular staircase. He and John are wearing coveralls together with white cotton coverings over their shoes, and latex gloves. Sherlock is putting on latex gloves as they go up the stairs. Lestrade turns round to Sherlock and John while walking up and says: ""I can give you two minutes."" Sherlock casually states: ""May need longer.""  Lestrade explains as they go up the stairs: ""Her name's Jennifer Wilson according to her credit cards. We're running them now for contact details. Hasn't been here long. Some kids found her."" They pass by many people working on the case.  Camera goes up and through the floor to the body of the dead woman Jennifer Wilson who is lying facedown in a room two storeys above ground floor. The sounds of the three men walking up the stairs could be heard.  Camera pans from the body to Lestrade, who enters the room first. The room is empty of furniture except for a rocking horse in the far cornder. Emergency portable lighting has been set up by the police. Scaffolding poles hold up part of the ceiling near where a couple of holes have been knocked through one of the walls. ",29
