events,transcript,recalled,recall_duration,recall_wordcount
34,"He's trying to take him, he's trying to sneak him out of the building. He doesn't want to take the elevator. He's trying to sneak him down the stairs and as he's trying to sneak him down the stairs he runs into another stick figure person, yellow stick figure person. Yellow stick figure person's on her way upstairs to the bathroom and she see the blue guy dragging the dead green guy and she faints and falls down the stairs, and I think she dies herself on the stairs. ",1,15,90
35,So then our green guy knows that he can't take the stairs anymore or take the elevator down anymore and he sees this ladder on the window which is the ladder left by the window washer guy that fell from the coffee earlier in the story.,1,7,46
36,"And so he goes out the window and I guess he just drops the green guy down. He's on the ladder himself and he's teetering and it sort of pant back and becomes a little philosophical. And it ends there with him teetering on the ladder outside the window and someone inside, I guess the janitor, watching him teeter.",1,11,59
37,"And it opens and there are some prehistoric creatures moving around in the ocean and there's a mountain and the mountain has a face on it and kind of a circular nose. And as time advances and this mountain erodes away, you see there's, they're like, dinosaurs come and go, there's a big snow with glaciers and there's wooly mammoths. And the mountain is shrinking and it's becoming a smaller and smaller rock.",1,17,73
38,"And the mountain is now like a boulder and on top of the boulder is a tree and they're some guys who are trying to cut down the tree. And the boulder gets really disgruntled and stands up and walks into the woods to hide from these guys. So he goes into the woods and sleeps but his sleep doesn't last long because he gets pulled out of the woods by some people and gets dragged away and he becomes a millstone, one of those stones. He's in a water wheel, attached to a water wheel, spinning around and making, I guess you use it to make grain or something like that. He doesn't like that at all because he's now been machined to be perfectly round. He's spinning around and he's dizzy and he's not happy about that.",1,23,139
39,"Oh some people come, they're like soldiers, revolutionary, like civil war, I guess they're civil war soldiers. They come and they take the rock away and they make him into the cannon balls and he's shot, they take him on the ship, they shoot him at another ship, he breaks the mast of the Confederate ship and lands in the ocean, sinks into the ocean.",1,13,65
40,"And I don't remember what happens to him after that; at some point he becomes a fossil, he's picked up by a fossil collector. He's got some marine, ancient marine fossil inside of him.",1,6,34
41,And then he falls out of the museum and goes rolling through the city.,1,2,14
42,Someone picks him up and throws him through a window at some point.,1,2,13
43,"And then at the end of it he becomes, he's eroded down, he finally becomes sand  and the sand gets picked up and melted into glass ",1,5,28
44,and the sand gets picked up and melted into glass ,1,1,11
45,"and the glass is put on the front of a satellite, he's shot into space, this rock. And something happens to the satellite, he ends up crashing on another planet, and the closing scene in the one about the rock is this cracked piece of glass with this rock character inside of it has become part of a mountain on another planet, that now has prehistoric life, so the plot has come full circle.",1,15,74
46,"And there's a guy and he's sort of confused about where he is. He's at a cafe and he's trying to ask the lady, the cafe lady, what village he's in and where the village is, and she's totally confused. But she directs him to a place where he can make a phone call, and he picks up the phone, and it's sort of a weird looking phone, it's not a payphone, it's a cordless phone, sitting there.",1,14,78
47,"But she directs him to a place where he can make a phone call, and he picks up the phone, and it's sort of a weird looking phone, it's not a payphone, it's a cordless phone, sitting there. He talks to the, there's an operator on the other side of the phone, he wants to know where he is and she won't tell him, she just wants to know what is his number. He says he doesn't have a number and she says no number, no phone call, hangs up on him.",1,14,92
48,"Then he finds some kind of a board with buttons on it and it's got a map of the village that says the village and he pushes a button for a taxi and the taxi lady shows up. He's trying to get the taxi lady to tell him where he is, or can she take him out of the village, and she says no, it's a local taxi only and so he says take me as far as you can and gets into the taxi and they go.",1,13,88
49,Then she goes as far as she can which is not that far.,1,1,13
50,"And then, he goes into a shop, and there's a shopkeeper there and he's talking to the shopkeeper, the shopkeeper's talking in Italian or something to a lady and they switch to English as he walks in.",1,6,37
51,"And then he walks into the shop and he asks the shopkeeper for a map. And the shop guy asks him if it's a color or black and white map he wants, and he doesn't care, he just wants a map. So he gets a map and the map is just a map of one village. It's a very small village, it's only got a couple buildings in it and around it it's just really vague, it just says the mountains, the mountains, the sea, there's no details. So he asks for a larger map and after a bunch of fuss the guy gets him out a larger map which is colored this time, and the larger map doesn't show any bigger area, it's just a physically larger map but exactly the same thing.",1,20,134
52,"So he prints, something weird is happening with the copier machine, he's trying to copy something, and out comes this page and on the page is this big black circle. It's printed. And that's wasn't what he wanted so he puts it down and tries to copy this other thing.",1,8,50
53,"He goes to put his coffee cup down, the coffee cup falls through the black circle. So he reaches his arm inside and his arm disappears and he goes through and he's able to grab his coffee cup from down below.",1,7,41
54,"So he's surprised and interested by this thing so he goes to the vending machine and he slaps the hole on the vending machine, reaches his arm through, and gets a candy bar from the vending machine. And so he gets a really good idea.",1,7,45
55,"He goes over to the money room, puts the hole on the door, reaches through the hole, and he opens the door from the other side which is locked. And he goes to the safe, and he puts his hole on the safe and he's reaching through and taking money out of the safe. And he's taking money out of the safe, taking money out of the safe, and very pleased with himself. And then to get the last little bit of money he's reaching his arm further and further and further and he ends up crawling, putting his whole arm in, then his whole head in, and his whole body through the hole. And then, the paper falls and he's stuck inside the safe. And it ends with that guy stuck inside of the safe sort of banging, banging and trying to get out.",1,23,145
56,,0,,0
57,,0,,0
58,,0,,0
59,,0,,0
60,"In the last story there's a guy, and he's standing waiting for a bus, and he's wearing headphones. And he's got a bag, I think he's got ice cream or something in the bag, a grocery bag. And he looks really hot and miserable and sweaty. And a car pulls up really fast, slams on the brakes, and comes to a really fast stop next to a payphone. And a lady gets out of the car, she goes over to the payphone and she's obviously distraught about something with this payphone.",1,15,91
61,"The payphone's not working so she comes across the street to the guy and she asks to borrow his phone. And as that's happening her car starts to roll away, which is funny, because she doesn't notice and nobody else in the story notices that her car is rolling away but I really think it was rolling away. So she asks him for his phone, and he agrees to let her use his phone, and she makes some phone call, and it sounds like she's talking to a mobster or something. She's threatening to go to the police and she's distraught and she's angry and she ends up throwing the phone on the ground and breaking the phone.She says I'm here, yeah that's what she says when she picks up the phone, yeah she says I'm here.",1,23,137
62,"And so the guy, and then she goes and she's just standing in the road and the guy whose phone it was picks up the phone and he's mad because she broke his phone. He's actually not that mad, he's just confused and awkward. Hey, uh miss, I think you, this phone is broken. Can I, could you give me some money for my phone that you broke? She's not really paying attention to him at all.",1,15,77
63,Then a car pulls up and stops and a guy gets out in a I don't know like fancy suit sort of an outfit.,1,6,24
64,"He goes and he's having a conversation with the lady, an angry one, what's she asking. She's like, where is she? Where is she, she wants to know. Then the guy in the car is asking her, so the guy with the phone has been following her trying to get her to pay attention and give him money for his phone and he says, who is this, goes, you know who I am? He recognizes him, he's a magician from, he says the magician from the casino.",1,18,87
65,"And then at some point I don't know if this was before or after this, the lady pulls out a gun and she's threatening the guy and she wants to know where is she, tell me now. The magician pulls out a little, with some slight of hand pulls out a little magic gun. So they're threatening each other.",1,11,59
66,"At some point then the lady goes around to the magician guy's car and she's trying to get to the trunk. At the same time the magician guy has started kind of hypnotizing the phone guy. He's got some little box which is like a coffin and it's got some bones inside and he's reading some magic words.And the phone guy, he's getting delirious and he passes out, his ice cream is melted, splattered on the ground next to him. He's passed out on the road. And in the meantime the lady has gotten open the trunk of the car and is looking appalled at what she sees in there and hears barking coming from inside.",1,23,116
67,"And as that happens the magician goes shit and he pulls out of his pocket a little piece of paper, I guess it's got the magic words on it, and he's repeating them muttering the magic words under his breath like he did something wrong. And then the phone guy wakes up and the phone guy has become a dog, barking, and he's walking around on all fours. And the lady comes over and sees him, she's on the ground, the dog guy's on the ground, the magician guy's on the ground. She shoots the magician guy and the magician guy shoots her and phone guy has now become a dog barking, he's walking around on all fours.",1,23,118
68,"She shoots the magician guy and the magician guy shoots her and phone guy has now become a dog barking, he's walking around on all fours. Out of the trunk comes another girl, who's also a dog, I guess the one the first lady was asking about. So now they're both dogs and they're acting like dogs and they're like sniffing each other and barking at each other. And they walk off together under the bridge and that's the end of that one.",1,16,83
