events,transcript,recalled,recall_duration,recall_wordcount
53,"And then um absent-mindedly takes a sip from his plastic cup and then rests it, and puts it down, but then the cup’s not there. He notices. Maybe there’s something strange with that piece of paper. And then he waves his hands over it, nobody’s around. The copy job is going. Um and he puts his hand all the way in and then actually pulls out the cup. Umm so there’s some like volume where the cup could sit and then he pulled it out. And then he’s like oh wow. He picks the sheet up and then puts his arm through. And then thinks of um some ways to test you know what this uh apparent hole can allow him to do.",1,42,123
54,"So he brings it up to a vending machine and is able to steal some candy, at least a Snickers bar as we see in a later cut, munching on one. And then as he’s chewing the snickers bar, he catches sight of a door with a lot of meaning to him.",1,12,52
55,"And we learn quickly after that it’s a room with a safe in it. And then so he um uses the paper to undo the lock from the inside of the door. And then he goes in, and then he Scotch tapes the piece of paper onto the door of the safe, sticks his arm through, and pulls out a wad of cash. He gets greedy, pulls out more wads of cash.Nobody is around so he’s like okay I’m just gonna take out all the cash. I think he runs out of money he can reach to from the outside and so he decides to climb in. And then he climbs all the way in, and then the scotch tape sort of loses its grip on the wall and then um of the safe, and falls off, and then now the guy is trapped. He taps and that’s it.",1,33,149
56,"And there we’re introduced to um a young man and a young woman who are um in these side-by-side cubicles where they’re both copying some things. And then they’re kind of coordinated in their movements. They notice each other, they exchange quick glances. And so they each know that the other noticed the other person noticing.",1,21,56
57,"Then we see the man sit down at his desk, opens a blue folder he didn’t remember putting there, and there’s a pink smiley face made of just post-it notes in front of him. He’s like whoa, that’s strange. He wheels back a bit, wheels back a bit, tries to see if anyone nearby, might be nearby to claim to this deed. He wheels back a bit, wheels back a bit, tries to see if anyone nearby, might be nearby to claim to this deed. So thus begins this dialogue in post-it notes, flirty post-it note exchanges.",1,29,97
58,"He um makes a sun, a sort of a sun, representation of a sun on her window out of like yellowish orange-ish post-it notes. And she makes a kind of thought bubble, heart thought bubble post-it note art on a bathroom stall just behind where he was going to stand while he’s adjusting his tie.",1,17,55
59,"And then he makes a post-it note thing in like the supply room that’s like flowers. And then we see her coming out of a supply closet with a whole armful of post-its of various colors, sizes. And then she’s walking out, and then she looks surprised,  because in front of her is the guy nearly, like putting some finishing touches on a very like lifelike, realistic post-it note mosaic of their faces squished against one another like cheek-to-cheek, smiling in happiness with like hearts all around it.",1,28,89
60,"And there was a young dude standing at a bus stop with what looked like a gallon or a half-gallon of double strawberry ice cream  and it seems like a hot summer's day cuz it was melting fast and he was just waiting there in a very deserted corner for this bus. All of a sudden, this black SUV cruises into the frame and um this lady wearing um kind of what looks like night clothes, kind of like a night robe comes out and is looking pretty stressed out and um goes to the payphone. Um she seems to be in a hurry because she left her driver’s door um open and she doesn’t have any quarters or is not able to make the call using the payphone um, so does some mild abuse to the payphone and then um notices the guy standing at the corner of the bus stop and asks him if she can borrow his phone, assuring him that she won’t take it.",1,47,169
61,"so does some mild abuse to the payphone and then um notices the guy standing at the corner of the bus stop and asks him if she can borrow his phone, assuring him that she won’t take it. He hands it to her and she redials the number while she walks away and starts saying these things about how she’ll go to the police and she says that she’s here, she’s arrived. Um and then it seems like the other person has hung up at some point, um after that threat to go to the police, and then she smashes the phone on the ground, which startles the guy a bit more. Um he’s just trying to do a favor for this lady.",1,33,123
62,"And then he follows her because he’s wondering if he can at least get 60 bucks or something for the phone, because it’s clearly broken now. And she pretends not to hear him, or she’s just really, seems really focused on what’s bothering her.",1,14,44
63,"And then what comes into view is this man behind a steering wheel who pulls in, he’s in front of them, a few hundred feet away. And he comes out.",1,9,30
64,"And then she approaches the man who just stepped out. Clearly this was the meeting point and um he comes out and she asks him where her sister is, and he um anyway, he comes out and then asks her um who this other person is, and this is the guy with the broken phone. He’s like I don’t know her, um, you know he tries to explain how she broke his phone and so on. In any case, uh, he accuses the lady of telling the ice cream guy um who he is, and suddenly the ice cream, I’m going to call him the ice cream guy, um, realizes oh!You’re the stage magician, and you’re his assistant.",1,37,118
65,"And they both pull out guns being the magician and the assistant, the lady. Um and now ice cream guy is super freaked out, um.",1,7,25
66,"Then the magician starts to, starts some incantation, which is like a this weird uh coffin like small version of a coffin and a handkerchief and um starts saying words and then the guy seems to pass out and then faint and fall. And then um and then the woman opens the trunk and is really aghast by what she sees, although we don’t get to see what she sees just yet.",1,26,72
67,"Um and then she comes over with a gun, she shoots him. The magician on the ground shoots her. They’re both dead. The guy wakes up, starts licking the melted ice cream.",1,9,32
68,"He is now barking like a dog.  He is now barking at some other barking, and the barking continues. Turns out the other barking is probably from the sister that was in the trunk. And now they are, I think they are dogs, and they’re barking, and then they leave.",1,12,51
