event_number,central_id,central_content
49.0,C3,"Economy uses ""credit units."""
49.0,C4,"Farewell includes ""be seeing you."""
50.0,C1,Man enters general store
50.0,C2,"Clerk says ""be seeing you"""
50.0,C3,Man looks confused
51.0,C1,Man requests a map of the area.
51.0,C2,Cashier provides only local maps.
51.0,C3,Man asks about self-drive cars.
51.0,C4,Cashier says only taxis available.
51.0,C5,"Cashier uses ""be seeing you"" phrase."
52.0,C1,Man discovers black hole on paper
52.0,C2,Black hole printed from copy machine
53.0,C1,Man discovers black hole's power
53.0,C2,Retrieves cup from black hole
53.0,C3,"Man laughs, realizing potential"
54.0,C1,Uses black hole to steal a snack
54.0,C2,Looks at black hole and smiles
54.0,C3,Notices a door and approaches it
55.0,C1,Man uses black hole on safe
55.0,C2,Retrieves cash through black hole
55.0,C3,Climbs into safe for more cash
55.0,C4,Black hole paper falls off
55.0,C5,Man trapped inside the safe
56.0,C1,Woman and man use copiers in sync.
56.0,C2,Both notice copiers are out of paper.
56.0,C3,Man notices woman across the divider.
56.0,C4,They lock eyes and look down.
56.0,C5,Woman smiles shyly.
57.0,C1,Man finds smiley face post-it note
57.0,C2,"Woman looks at man, then hides"
57.0,C3,Man smiles at post-it note
58.0,C1,Woman sees sun made of post-its
58.0,C2,Man sees heart post-it in mirror
58.0,C3,Man smiles at heart post-it
59.0,C1,Woman enters room with post-its.
59.0,C2,Woman sees man making mural.
59.0,C3,Mural depicts their faces together.
59.0,C4,Man notices woman watching.
59.0,C5,Woman smiles with tears in eyes.
60.0,C1,Man waits at bus stop
60.0,C2,Man holds melting ice cream
60.0,C3,Woman exits SUV
60.0,C4,Woman uses payphone
60.0,C5,"Woman frustrated, slams phone"
61.0,C1,Woman asks to borrow man's phone.
61.0,C2,Woman claims it's an emergency.
61.0,C3,Woman threatens to call police.
61.0,C4,Woman throws phone on pavement.
61.0,C5,Man approaches the woman.
62.0,C1,Woman is crying
62.0,C2,Man offers broken phone
62.0,C3,"Woman says, ""He's here"""
63.0,C1,Woman approaches the car
63.0,C2,"Man asks, ""Who's that?"""
63.0,C3,Woman mumbles words
63.0,C4,Man exits the car
64.0,C1,"Woman confronts Aldini, her partner."
64.0,C2,Aldini is a stage magician.
64.0,C3,Woman uses stranger's phone.
64.0,C4,Stranger identifies Aldini.
64.0,C5,Aldini's identity revealed to stranger.
65.0,C1,Woman points gun at the man
65.0,C2,"Woman demands, ""Where is she?"""
65.0,C3,Aldini reveals his own gun
65.0,C4,Woman fires a shot
66.0,C1,Woman rushes toward the car
66.0,C2,"Aldini says, ""Charelle, she's going to be ok"""
66.0,C3,Aldini runs in front of the first man
66.0,C4,Aldini shows a small coffin
66.0,C5,Aldini recites an incantation
66.0,C6,"Woman opens trunk, stumbles back"
66.0,C7,First man's eyes roll back
66.0,C8,Man collapses on the ground
67.0,C1,Man makes dog noises on floor
67.0,C2,Aldini reads note aloud
67.0,C3,Woman approaches with gun
67.0,C4,Gunshot interrupts Aldini
67.0,C5,Aldini fires gun before dying
67.0,C6,"Man barks, eats ice cream"
67.0,C7,Aerial view shows deaths
67.0,C8,Man crawls toward woman
68.0,C1,Man barks and crawls toward sound.
68.0,C2,Man encounters girl barking like a dog.
68.0,C3,Man and girl sniff and circle each other.
68.0,C4,"They crawl off together, acting like dogs."
