events,transcript
27,"And then they get to the crime scene, where the sergeant, I believe, who hates Sherlock is there. And she calls him a freak. And as theyíre going into the house Sherlock comments to the sergeant and the chief medical examiner that the sergeant smells like his deodorant and that her knees are scuffed up, so clearly she had been at his house last night, which sort of throws them both off."
28,
29,
30,"They walk into the house, go up these sort of sketchy stairs, and in this room they see the corpse of a woman, face down, completely dressed in pink. And Watson and the chief inspector are wearing medical hazard suits, and Sherlockís just wearing gloves. And they examine the woman and heís commenting that the RACHE on the floor is in fact not German for a bench, but is her trying to spell out Rachel."
31,
32,
33,"And he surmises that sheís a serial cheater, because all of her jewelry is polished except for her wedding ring, which is dirty on the outside. But on the inside itís very clean because she constantly takes it on and off. Judging from her outfit and the dampness of her coat, he assumes that sheís been traveling for about a day, and she came from somewhere with rain."
34,"And from this he knows that sheís supposed to have a suitcase, but they donít find it on the scene. So he says we must find the suitcase, we must find the suitcase, and sort of dashes out of the building at that point."
35,"And Watson follows after him but Sherlockís already left. And so Watson asks for a cab. The sergeant, as Watson is asking for a cab, warns him that Sherlock is a psychopath, and that he should stay away from Sherlock because Sherlock eventually is gonna get bored and kill somebody. And Watsonís kind of confused by this but ends up leaving and starts walking away."
36,"And as heís walking, various telephone booths start ringing. And finally the third one, he answers it. And the man on other end of the line tells him to look at a security camera, and look at another."
37,"Then a car pulls up and the man tell him to get in the car. Thereís Watson sitting in the car, thereís a woman whoís constantly texting, and just sort of answers his questions with a yes or a no."
38,"And they drive to sort of a warehouse where thereís a chair and a man holding an umbrella. The man tells Watson to sit down. And Watson prefers to stand, and the man claims that Holmes would consider him his arch nemesis."
39,And he wants to pay Watson a hefty sum of money for Watson to spy on Holmes. But Watson denies it.
40,"And the man pulls out a psychiatry book about Watson and tries to threaten him some more, but Watson really just kind of dismisses it and leaves."
41,
42,
43,"And so the woman in the car takes him home. Again, sheís kind of dismissive. And he tries to ask her if she has free time and she tells him to get out."
44,And then Watson goes up to the flat and sees Holmes sitting on the couch with three nicotine patches on him. And Holmes is trying to think about the murders.
45,"And Holmes asks Watson to take his phone and text the number of the dead lady and ask, and say that she had blacked out in order sort of to tempt the murderer out of cover, because the murderer sort of would think that sheís dead would be surprised that sheís alive."
46,
47,"And once they text this to the random number, or to the ladies phone, the person who has the phone calls back and they can see that they scared the murderer out of hiding."
48,
49,
50,
