events,transcript
27,At the crime scene at a house on the way in he has a testy exchange with one of the detectives.  He can tell that the detectives and the forensic person were having an affair.
28,
29,
30,They go upstairs and their is a woman dressed in a pink suit lying face down on the floor.    It looks lie with her left finger nail   she had tried to scribble out Rachel on the  floor it looks lie she was able to write R A C H E .
31,
32,He asks watson to examine the body and Watson deduces it was a stranglation and asphyxiation.
33,"Sherlock realizes this is German for revenge but thought it was more like she was trying to spell our RACHEL.    He quickly wipes his finger against her coat.  He notices that her umbrella is dry.  He sees that her wedding ring looks old so he figures she has been married for like 10 yrs.   But the ring is dirty and  the ring is smooth and polish on the inside.  HE believes it means she is a serial adulterer.  He looks up weather in the region and she was from Cardiff , she had been walking in th rain,  because her coat was wet but her umbrella was dry.  "
34,He also says she should have a suitcase because her legs have some mud.  He assumes she was rolling a bag behind her.  He figures it is pink like her coat.
35,"Sherlock ends up running out of the room and has a ureaka moment.  He says he thinks they are murders not suicides.  He runs off to find the suitcase, leaving Watson alone and he comes out of the building and asks  the police detective early where he can find a car.    She warns Watson that Sherlock is psycho pathetic because he likes murder and crime scenes.    She hints that Sherlock might be committing the crimes."
36,Watson he walks home and he hears a pay phone ring when a third one rings he answers.  The voice says look  at security  cameras across the street and then asks him to get in the car.
37,"He does and he goes off  In the car he talks to a woman who is trans fixed  by her cell phone.   He asks what her name is and she gives him a fake name, He asks where are they going and she doesn't answer."
38,He goes to a warehouse where he meets a  man that says he is the closest thing to a friend that Sherlock has. This man says he considers himself to be Sherlock's arch enemy.
39,He offers Watson money to provide information on Sherlock's activities.   Watson refuses.
40,"The man asks Watson to hold out his left hand and notices that Watson usually has a tremor.   He shows Watson that he likes pressure tht is why his hand is not shaking.    He is not haunted with PTSD.    He misses the experiences, he is cooler under pressure.  That is a turning point for Watson."
41,
42,He ends up driving back to his apartment  that he first is in and picks up a pistol
43,He makes a quick pass at the woman but she is not interested.  She doesn't go for it.
44,He goes back to the  apartment and find Sherlock with three nicotine patches on his arm so he thinks he has some sort of addiction.
45,Sherlock asks him to send a text message of the woman who died.  Watson is a little miffed.  Sherlock had been sending him text messages when he was wisked away by this guy.     Watson is wondering what is the fuss about.  He sends off the message asks him to.
46,He told  Sherlock he met his arch enemy he doesn't seem too interested  and then asks him which one of my enemies.   Says he offered me money to spy on you.  When Watson said he did not except it Sherlock says  we could have split the money.
47,He has the suitcase in the apartment but says the cell phone is missing.    The number he texted was the number of the dead woman.    So the killer should have her phone.
48,"Sherlock gets up and Sherlock found the pink suitcase.  Sherlock says he realized the killer would have wanted to put the suitcase somewhere , hide it somewhere he ended up going to , Cardiff or I don't  remember.  He ends up finding the suitcase in the dumpster."
49,Then shortly after Watson gets a phone call  and it is a withheld number and they think it is the killer calling back.  Sherlock wanted to confuse the  killer.  The message was  something only the dead woman could send.  The killer takes the bait.  
50,  Sherlock says then we have more business to do.  Watson says do you want me to go too.    Sherlock says you came back even though  I said it would be dangerous.   So Watson is back in this dangerous environment.    He realizes he is up for it and looks forward for it.  The segment ends with them leaving the flat to track things down and that is it.   
