event_number,peripheral_id,peripheral
36,P10,Turns to leave the phone box
37,P1,On the right seat
37,P2,Right behind the driver
37,P3,Eyes fixed on her BlackBerry
37,P4,Smiles brightly at him
37,P5,Awkwardly stays seated
37,P6,Twists to look out of the rear window briefly
37,P7,Looks straight at the road
37,P8,Almost-empty warehouse
38,P1,Leaning nonchalantly on an umbrella
38,P2,Only his backside is shown
38,P3,Car's lights are still on
38,P4,Leaning heavily on his cane
38,P5,Gestures with the point of his umbrella
38,P6,Voice is calm
38,P7,Looks around the warehouse
38,P8,Voice has a pleasant smile in it
38,P9,Looks away thoughtfully
38,P10,John's phone trills a text alert
39,P1,John immediately takes his phone out
39,P2,The Man laughs briefly
39,P3,John looks a little unnerved
39,P4,John looks down at the notebook
39,P5,The Man looks at him closely
39,P6,John tilts his head
39,P7,John shakes his head
39,P8,Through bared teeth
39,P9,The Man leans on his umbrella casually
40,P1,Deliberately shifts his feet
40,P2,Hooking the handle of the umbrella
40,P3,"Raises his left hand, bending it at the elbow"
40,P4,Small smile
40,P5,Reluctantly lowers his hand
40,P6,Holding it out flat with the palm down
40,P7,Muscle in his cheek twitches repeatedly
40,P8,Eyes flicker downwards
40,P9,Casually twirling his umbrella
40,P10,John's eyes rise up to meet his
40,P11,"Looks angry, but defeated"
40,P12,Anthea's attention fixed on the BlackBerry
41,P1,Half turns
41,P2,From his left pocket
41,P3,Lack of tremor
41,P4,Smiles wryly
41,P5,Switches on the light
41,P6,Closes the door behind him
42,P1,Looking around to his right
42,P2,Opens his desk drawer
42,P3,Checks the clip of the gun
42,P4,Into the back of his waistband
42,P5,Of his jeans
43,P1,Fixated on her phone
43,P2,Nonchalantly says
43,P3,Smiles across to him briefly
43,P4,Smiles while typing on her phone
43,P5,Sarcastically says
43,P6,Waiting expectantly
43,P7,Continues working on her phone
43,P8,Allows her gaze to drift past him
44,P1,Stretched out on the sofa
44,P2,Head towards the window
44,P3,Resting on a cushion
44,P4,Shirt sleeves unbuttoned and pushed up
44,P5,Eyes snap open wide
44,P6,Noisy breath
44,P7,Presses hands together in a prayerful position
44,P8,John frowns
45,P1,Eyes closed
45,P2,Hands together
45,P3,John glares at Sherlock
45,P4,Sherlock lying down peacefully
45,P5,John slaps the phone into his hand
45,P6,John half-smiles in disbelief
45,P7,Sherlock refolds his hands under his chin
46,P1,Looking out of the window
46,P2,Frowns in confusion
46,P3,Unfazed by John's answer
46,P4,Visibly relaxes
46,P5,Pauses for a moment
46,P6,Surprised by Sherlock's reaction
46,P7,Narrowing his eyes suspiciously
46,P8,Says softly
46,P9,With more strength in his voice
47,P1,Dark look
47,P2,Hands together and eyes closed
47,P3,Shaking his head
47,P4,Briefly looks across to Sherlock
47,P5,Flips his legs around
47,P6,Picks up a small pink suitcase
47,P7,Staggers backward slightly in shock
47,P8,All in pink
48,P1,Moves backward in shock
48,P2,Rolls his eyes
48,P3,Sarcastically
48,P4,Smirks
48,P5,Perching on the seat
48,P6,Braced against the back rest
48,P7,Limps across the room
48,P8,Clasps his hands under his chin
48,P9,Drops heavily into the armchair
48,P10,Makes a placatory gesture with his right hand
49,P1,Sherlock smiles
49,P2,Puts his hands down onto the arms of the chair
49,P3,Lowers his feet to sit down properly
49,P4,Looks at John expectantly
49,P5,"John says: ""Er…"" thoughtfully"
49,P6,John has a shocked look on his face
49,P7,Phone continues to ring
50,P1,Pauses dramatically
50,P2,Abruptly flips the lid
50,P3,Adjusts his jacket
50,P4,Reaches behind the door
50,P5,Organizing his scarf
50,P6,Smiles briefly
50,P7,Looks away in exasperation
50,P8,Roughly leans onto his cane
